epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.1539,1.66237,3.53629,0.93503,0.00418,0.05347,0.00672,0.00152,1.73812,4.20429,0.92318,0.000225,0.000225,0.000225
2,133.835,1.56549,1.93722,0.89691,0.0035,0.03374,0.00879,0.00199,1.83023,3.85709,0.90516,0.000457921,0.000457921,0.000457921
3,199.209,1.49893,1.39228,0.88448,0.01894,0.18865,0.08737,0.03403,1.54566,3.34189,0.86508,0.00068614,0.00068614,0.00068614
4,267.942,1.50175,1.27576,0.87282,0.03213,0.32637,0.16618,0.08064,1.40612,2.68598,0.85705,0.000909656,0.000909656,0.000909656
5,334.295,1.42165,1.22994,0.87837,0.69747,0.19992,0.22335,0.12048,1.29084,2.15361,0.86169,0.00112847,0.00112847,0.00112847
6,400.376,1.39002,1.15155,0.87168,0.9559,0.21836,0.2633,0.16032,1.28767,1.65362,0.85831,0.00118812,0.00118812,0.00118812
7,465.064,1.38405,1.13017,0.86958,0.88138,0.24046,0.26798,0.14228,1.45735,1.50436,0.86071,0.00117575,0.00117575,0.00117575
8,531.926,1.41062,1.11336,0.86292,0.87633,0.23444,0.24994,0.12551,1.45353,1.3775,0.87268,0.00116337,0.00116337,0.00116337
9,598.949,1.36167,1.07484,0.86854,0.85444,0.25214,0.26574,0.16043,1.24462,1.10927,0.85315,0.001151,0.001151,0.001151
10,664.321,1.37629,1.06128,0.86324,0.88938,0.26953,0.31251,0.19766,1.13803,0.99794,0.84828,0.00113863,0.00113863,0.00113863
11,729.092,1.29721,1.02098,0.86139,0.88452,0.26619,0.32172,0.20594,1.14488,0.95175,0.84591,0.00112625,0.00112625,0.00112625
12,793.843,1.37414,1.01083,0.84892,0.60884,0.33178,0.33697,0.19005,1.3639,0.96905,0.85239,0.00111388,0.00111388,0.00111388
13,858.537,1.42594,1.01171,0.85293,0.61626,0.3153,0.34557,0.20411,1.21302,0.97849,0.84363,0.0011015,0.0011015,0.0011015
14,923.992,1.26896,0.94172,0.85156,0.6163,0.37442,0.37657,0.22744,1.18024,0.90347,0.84423,0.00108913,0.00108913,0.00108913
15,988.544,1.21735,0.91416,0.8468,0.70094,0.42554,0.43658,0.26854,1.07735,0.84423,0.83774,0.00107675,0.00107675,0.00107675
16,1053.15,1.20264,0.87163,0.84303,0.70801,0.46945,0.49185,0.30514,1.06893,0.80705,0.83462,0.00106437,0.00106437,0.00106437
17,1117.44,1.17256,0.85645,0.83833,0.78687,0.5069,0.53348,0.33003,1.07426,0.78636,0.83585,0.001052,0.001052,0.001052
18,1182.21,1.21915,0.83664,0.83944,0.75565,0.53964,0.54322,0.34239,1.06104,0.76361,0.83405,0.00103962,0.00103962,0.00103962
19,1246.47,1.18049,0.80949,0.84661,0.79667,0.5527,0.58663,0.35855,1.14554,0.76787,0.83632,0.00102725,0.00102725,0.00102725
20,1311.36,1.18749,0.7849,0.83579,0.79258,0.54662,0.56769,0.37246,1.03865,0.73329,0.83537,0.00101488,0.00101488,0.00101488
21,1376.47,1.16799,0.76953,0.84046,0.79007,0.56419,0.59197,0.37648,1.05576,0.73562,0.83532,0.0010025,0.0010025,0.0010025
22,1440.76,1.18377,0.79425,0.83959,0.86983,0.53888,0.61165,0.39841,1.08897,0.71809,0.83582,0.000990125,0.000990125,0.000990125
23,1504.86,1.19668,0.77302,0.83369,0.81375,0.55595,0.59951,0.3704,1.09872,0.70997,0.83456,0.00097775,0.00097775,0.00097775
24,1568.97,1.19924,0.7476,0.83645,0.81226,0.53073,0.5792,0.35819,1.06788,0.71601,0.83706,0.000965375,0.000965375,0.000965375
25,1633.23,1.21124,0.74785,0.83844,0.83208,0.51818,0.60013,0.38596,1.01622,0.69121,0.82904,0.000953,0.000953,0.000953
26,1697.22,1.15276,0.72085,0.83788,0.8371,0.57563,0.63766,0.39953,1.03174,0.69503,0.83327,0.000940625,0.000940625,0.000940625
27,1760.04,1.14444,0.70921,0.83022,0.87842,0.56103,0.6512,0.41994,1.0213,0.6652,0.83364,0.00092825,0.00092825,0.00092825
28,1824.35,1.13842,0.717,0.83393,0.87348,0.55192,0.64913,0.4001,1.0354,0.67623,0.83187,0.000915875,0.000915875,0.000915875
29,1888.59,1.16825,0.70513,0.82998,0.88907,0.54386,0.63601,0.40719,1.03975,0.65573,0.83824,0.0009035,0.0009035,0.0009035
30,1952.83,1.12288,0.68488,0.83465,0.87282,0.57186,0.66875,0.41896,1.0259,0.66287,0.83213,0.000891125,0.000891125,0.000891125
31,2017.11,1.1195,0.68277,0.82683,0.88295,0.55357,0.66524,0.42321,0.9753,0.62902,0.82679,0.00087875,0.00087875,0.00087875
32,2079.29,1.12682,0.68558,0.82803,0.91423,0.4849,0.65443,0.41515,0.95773,0.64202,0.82717,0.000866375,0.000866375,0.000866375
33,2140.87,1.07104,0.6537,0.8279,0.88552,0.57477,0.67517,0.42939,0.9701,0.61691,0.82735,0.000854,0.000854,0.000854
34,2203.87,1.07313,0.65245,0.83101,0.9177,0.54466,0.68353,0.42028,1.01678,0.63028,0.82665,0.000841625,0.000841625,0.000841625
35,2266.85,1.06963,0.64332,0.8253,0.92713,0.5479,0.70158,0.43688,0.9769,0.60495,0.82533,0.00082925,0.00082925,0.00082925
36,2330.37,1.09508,0.6475,0.82398,0.88556,0.54568,0.67089,0.4226,0.95923,0.6172,0.82356,0.000816875,0.000816875,0.000816875
37,2393.81,1.09028,0.64767,0.82547,0.85085,0.61971,0.69639,0.43476,0.97338,0.60734,0.82493,0.0008045,0.0008045,0.0008045
38,2457.24,1.08371,0.65091,0.82231,0.80433,0.61105,0.67905,0.43233,0.94765,0.6129,0.82499,0.000792125,0.000792125,0.000792125
39,2520.7,1.09182,0.64173,0.82098,0.85841,0.62166,0.70461,0.44811,0.97697,0.60344,0.82576,0.00077975,0.00077975,0.00077975
40,2584.58,1.09681,0.64514,0.82375,0.65948,0.6522,0.68978,0.4205,1.01153,0.63232,0.8276,0.000767375,0.000767375,0.000767375
41,2648.2,1.12464,0.66523,0.82689,0.85289,0.61007,0.70019,0.43365,0.9718,0.60935,0.82422,0.000755,0.000755,0.000755
42,2713.15,1.09299,0.64944,0.82852,0.73238,0.67957,0.7015,0.44041,0.99145,0.60916,0.83141,0.000742625,0.000742625,0.000742625
43,2777.95,1.07984,0.63617,0.82445,0.88852,0.62525,0.71777,0.45257,0.96365,0.58069,0.82137,0.00073025,0.00073025,0.00073025
44,2842.97,1.05574,0.61585,0.82125,0.83206,0.67365,0.72044,0.45708,0.95696,0.57556,0.82122,0.000717875,0.000717875,0.000717875
45,2908.09,1.05879,0.61262,0.82378,0.77995,0.65967,0.71109,0.45551,0.95798,0.59202,0.82381,0.0007055,0.0007055,0.0007055
46,2972.32,1.05703,0.61652,0.82239,0.81366,0.65435,0.70371,0.4512,0.97287,0.59076,0.82527,0.000693125,0.000693125,0.000693125
47,3036.2,1.03821,0.60104,0.82563,0.7853,0.67734,0.7058,0.45697,0.9671,0.59204,0.82346,0.00068075,0.00068075,0.00068075
48,3100.63,1.06512,0.62082,0.81972,0.79506,0.70268,0.72531,0.46489,0.95194,0.55905,0.82389,0.000668375,0.000668375,0.000668375
49,3165.56,1.03643,0.59664,0.81986,0.79159,0.66221,0.7137,0.45924,0.9515,0.58492,0.82167,0.000656,0.000656,0.000656
50,3230.5,1.07351,0.62286,0.8216,0.841,0.61461,0.71328,0.45334,0.95473,0.58552,0.82259,0.000643625,0.000643625,0.000643625
51,3296.11,1.06919,0.62205,0.82263,0.85251,0.63549,0.71461,0.44502,1.02662,0.58969,0.82602,0.00063125,0.00063125,0.00063125
52,3360.38,1.04882,0.59944,0.82364,0.81367,0.6306,0.71624,0.44303,0.99888,0.58163,0.82245,0.000618875,0.000618875,0.000618875
53,3425.02,1.03147,0.6012,0.81972,0.83975,0.65995,0.73031,0.47648,0.92605,0.55056,0.8208,0.0006065,0.0006065,0.0006065
54,3489.39,1.02925,0.58595,0.81619,0.77523,0.68504,0.72279,0.47454,0.94457,0.55572,0.82235,0.000594125,0.000594125,0.000594125
55,3553.3,1.03594,0.59236,0.8199,0.82047,0.66658,0.73326,0.4658,0.97586,0.58091,0.82512,0.00058175,0.00058175,0.00058175
56,3617.44,1.06152,0.59858,0.8221,0.78329,0.65736,0.68702,0.44779,0.93863,0.57226,0.82129,0.000569375,0.000569375,0.000569375
57,3682.44,1.05501,0.59086,0.81954,0.813,0.70217,0.7322,0.48056,0.93932,0.54929,0.81991,0.000557,0.000557,0.000557
58,3748.07,1.05278,0.58618,0.81816,0.90918,0.66411,0.7432,0.48738,0.9013,0.53272,0.81968,0.000544625,0.000544625,0.000544625
59,3813.4,1.0158,0.57131,0.8176,0.91504,0.6437,0.74226,0.49136,0.90729,0.53208,0.81818,0.00053225,0.00053225,0.00053225
60,3881.18,1.0403,0.57742,0.81582,0.87002,0.67197,0.73887,0.4877,0.90368,0.53186,0.81657,0.000519875,0.000519875,0.000519875
61,3946.77,0.99568,0.55795,0.81945,0.8521,0.69215,0.74337,0.47913,0.91864,0.53629,0.8181,0.0005075,0.0005075,0.0005075
62,4011.85,1.03843,0.5792,0.81859,0.83213,0.65901,0.7288,0.46817,0.9419,0.54406,0.8205,0.000495125,0.000495125,0.000495125
63,4076.24,1.05191,0.57356,0.82083,0.83147,0.67548,0.73831,0.47735,0.93157,0.5423,0.82003,0.00048275,0.00048275,0.00048275
64,4141.06,1.04204,0.56672,0.8174,0.83464,0.69244,0.74272,0.47117,0.93797,0.53645,0.82141,0.000470375,0.000470375,0.000470375
65,4206.44,1.06696,0.58905,0.81653,0.86266,0.7131,0.75465,0.48071,0.92431,0.53553,0.81974,0.000458,0.000458,0.000458
66,4271.61,1.05046,0.57052,0.81598,0.83836,0.70909,0.74992,0.47834,0.95156,0.54532,0.81714,0.000445625,0.000445625,0.000445625
67,4336.2,0.97892,0.54369,0.81626,0.80872,0.69923,0.74203,0.4854,0.87264,0.51646,0.81477,0.00043325,0.00043325,0.00043325
68,4400.91,0.99193,0.55147,0.81353,0.8648,0.70248,0.75908,0.49871,0.9,0.51836,0.81628,0.000420875,0.000420875,0.000420875
69,4466.93,0.98477,0.54417,0.81345,0.83964,0.70868,0.75382,0.497,0.89332,0.50957,0.81591,0.0004085,0.0004085,0.0004085
70,4532.62,0.99674,0.55227,0.81388,0.82741,0.7051,0.7374,0.48588,0.89864,0.52586,0.81538,0.000396125,0.000396125,0.000396125
71,4597.22,0.97171,0.55023,0.81353,0.83253,0.72005,0.74522,0.48919,0.88689,0.51079,0.81485,0.00038375,0.00038375,0.00038375
72,4661.51,1.0051,0.55106,0.81151,0.90996,0.66539,0.75179,0.48912,0.92305,0.5192,0.81581,0.000371375,0.000371375,0.000371375
73,4724.58,0.96947,0.53724,0.81316,0.85656,0.6726,0.75054,0.49602,0.88336,0.506,0.81444,0.000359,0.000359,0.000359
74,4788.53,0.97318,0.53446,0.81439,0.84771,0.70302,0.74919,0.4984,0.87531,0.51299,0.81402,0.000346625,0.000346625,0.000346625
75,4853.49,1.00822,0.546,0.8128,0.86658,0.68959,0.74491,0.49323,0.88864,0.51534,0.81393,0.00033425,0.00033425,0.00033425
76,4918.9,0.98562,0.53677,0.81252,0.81991,0.71538,0.74578,0.47662,0.94097,0.53571,0.81653,0.000321875,0.000321875,0.000321875
77,4983.5,1.03537,0.55477,0.8102,0.88863,0.66516,0.75085,0.49748,0.87899,0.50813,0.81559,0.0003095,0.0003095,0.0003095
78,5048.75,0.98738,0.53824,0.81467,0.84882,0.71071,0.7477,0.49467,0.89496,0.50519,0.81449,0.000297125,0.000297125,0.000297125
79,5112.91,0.96658,0.53292,0.81336,0.83007,0.70116,0.74867,0.49501,0.87493,0.5065,0.81343,0.00028475,0.00028475,0.00028475
80,5178.45,0.95453,0.52566,0.81287,0.80998,0.70963,0.74826,0.49314,0.86897,0.50339,0.81203,0.000272375,0.000272375,0.000272375
81,5242.66,0.95818,0.52763,0.81225,0.82138,0.71903,0.74457,0.49543,0.86512,0.49817,0.81305,0.00026,0.00026,0.00026
82,5308.13,0.96695,0.52405,0.80963,0.86912,0.70205,0.75274,0.50619,0.86375,0.48985,0.81229,0.000247625,0.000247625,0.000247625
83,5371.25,0.94255,0.51986,0.80625,0.88706,0.67134,0.75445,0.50749,0.87476,0.49083,0.81242,0.00023525,0.00023525,0.00023525
84,5434.4,0.95659,0.51736,0.80861,0.90953,0.66191,0.76249,0.5017,0.86705,0.49573,0.81272,0.000222875,0.000222875,0.000222875
85,5497.83,0.95309,0.51789,0.80713,0.92078,0.65289,0.76185,0.5007,0.86288,0.48742,0.81333,0.0002105,0.0002105,0.0002105
86,5561.62,0.93896,0.51684,0.81459,0.79879,0.73696,0.76289,0.50129,0.8602,0.48864,0.81261,0.000198125,0.000198125,0.000198125
87,5625.76,0.95496,0.52698,0.80825,0.89797,0.67573,0.76197,0.49387,0.86486,0.49889,0.81308,0.00018575,0.00018575,0.00018575
88,5689.89,0.96948,0.5273,0.80821,0.81399,0.71922,0.76076,0.49022,0.87764,0.49726,0.81207,0.000173375,0.000173375,0.000173375
